state,precinct,percent_candidate,candidate_votes
Alaska,State House District 33,62,2828
Alaska,State House District 39,59,594
Alaska,State House District 20,56,1697
Alaska,State House District 4,54,2243
Alaska,State House District 18,53,1576
Alaska,State House District 19,50,1332
Alaska,State House District 17,48,1192
Alaska,State House District 21,47,1565
Alaska,State House District 34,46,2480
Alaska,State House District 5,43,1645
Alaska,State House District 15,40,879
Alaska,State House District 23,40,1661
Alaska,State House District 16,39,1196
Alaska,State House District 28,38,2150
Alaska,State House District 27,38,1807
Alaska,State House District 25,37,1812
Alaska,State House District 22,36,1776
Alaska,State House District 24,34,1831
Alaska,State House District 2,33,782
Alaska,State House District 26,33,1724
Alaska,State House District 32,33,233
Alaska,State House District 35,33,398
Alaska,State House District 36,32,1344
Alaska,State House District 11,25,1289
Alaska,State House District 6,24,942
Alaska,State House District 13,23,752
Alaska,State House District 14,22,882
Alaska,State House District 31,22,616
Alaska,State House District 9,21,405
Alaska,State House District 12,21,482
Alaska,State House District 8,18,512
Alaska,State House District 7,18,950
Alaska,State House District 10,18,863
Alaska,State House District 3,17,811
Alaska,State House District 29,16,295
Alaska,State House District 30,15,245
