state,precinct,percent_candidate,candidate_votes
District of Columbia,Ward 7,95,30253
District of Columbia,Ward 1,94,29509
District of Columbia,Ward 8,94,24567
District of Columbia,Ward 5,94,36585
District of Columbia,Ward 4,94,35117
Massachusetts,Cambridge,92,45426
District of Columbia,Ward 6,90,44699
Massachusetts,Amherst,90,10234
District of Columbia,Ward 3,90,33584
Maryland,Prince Georges,89,317102
District of Columbia,Ward 2,89,24247
Vermont,Montpelier,88,4576
Virginia,Petersburg City,88,12293
Massachusetts,Somerville,88,35392
Maryland,Baltimore City,88,161365
Massachusetts,Brookline,88,26046
Massachusetts,Northampton,87,15219
New Hampshire,Hanover,87,6210
Connecticut,Hartford,87,26597
California,San Francisco,86,325099
Virginia,Charlottesville City,86,20197
Connecticut,Westport,85,5270
Georgia,Clayton,85,89287
New York,New York,85,377605
California,Marin,84,84014
Alabama,Greene,84,4329
Virginia,Richmond City,83,86460
Louisiana,Orleans,83,147729
Georgia,DeKalb,83,305197
Massachusetts,Arlington,83,23024
Massachusetts,Boston,83,225368
New York,Bronx,82,271835
Connecticut,Bloomfield,82,5518
Missouri,St. Louis City,82,108385
Massachusetts,Concord,82,10002
California,Alameda,82,300278
Virginia,Falls Church City,82,7077
Colorado,Denver,82,270034
Alabama,Macon,81,7084
Virginia,Arlington,81,102510
Maine,Portland,81,33784
Massachusetts,Lexington,81,16138
New York,Queens,81,769135
Vermont,Brattleboro,81,5423
Massachusetts,Newton,81,39428
Virginia,Alexandria City,81,65201
Connecticut,New Haven,81,21957
Rhode Island,Providence,81,44686
North Carolina,Durham,81,142770
Vermont,Shelburne,80,4358
Pennsylvania,Philadelphia,80,509491
Massachusetts,Acton,80,10793
California,San Mateo,79,202821
Vermont,South Burlington,79,10057
Oregon,Multnomah,79,360326
Mississippi,Holmes,79,5182
California,Santa Cruz,79,109745
Massachusetts,Wayland,79,7191
Colorado,Boulder,79,141146
Massachusetts,Randolph,78,13586
Massachusetts,Watertown Town,78,14855
Massachusetts,Belmont,78,11605
California,Sonoma,78,153342
Massachusetts,Needham,77,15538
Massachusetts,Chelsea,77,7953
New Jersey,Essex,77,224615
Maryland,Montgomery,77,265188
Massachusetts,Wellesley,77,12295
Colorado,San Miguel,77,3890
Connecticut,Bridgeport,76,22251
New Hampshire,Durham,76,5970
New Mexico,Taos,76,12816
Maine,Cape Elizabeth,76,5349
New Mexico,Santa Fe,76,61629
Connecticut,New London,76,6912
Washington,King,76,885638
Massachusetts,Sudbury,76,9075
Wisconsin,Dane,75,260157
Massachusetts,Sharon,75,8530
California,Santa Clara,75,418893
Connecticut,Cheshire,75,5329
Colorado,Pitkin,75,8906
Connecticut,Windsor,75,13183
Maine,Yarmouth,75,4785
Connecticut,West Hartford,75,27298
Washington,San Juan,75,9209
North Carolina,Orange,75,63097
Massachusetts,Salem,75,17786
New Jersey,Hudson,75,141997
Connecticut,Mansfield,75,5608
Massachusetts,Natick,75,15972
Massachusetts,Pittsfield,75,16158
Massachusetts,Malden,74,18417
California,Contra Costa,74,265942
New Hampshire,Lebanon,74,5895
Massachusetts,Medford,74,22717
New York,Kings,74,514133
Alabama,Sumter,74,4639
Alabama,Perry,74,3849
Maine,South Portland,74,12075
California,Yolo,74,40635
Massachusetts,Framingham,74,23613
Massachusetts,Easthampton Town,74,7733
Rhode Island,Newport,74,7548
Massachusetts,Lawrence,73,16854
Connecticut,Hamden,73,21839
Massachusetts,Rockport,73,3859
Massachusetts,Weston,73,5049
Massachusetts,Maynard,73,4851
Massachusetts,Milton,73,12497
Alabama,Lowndes,73,4968
Mississippi,Coahoma,73,5189
California,Mendocino,73,18303
California,Napa,73,32228
Georgia,Fulton,73,373569
New Hampshire,Portsmouth,73,10643
Illinois,Cook,73,1303031
Connecticut,Weston,73,4733
