state,precinct,percent_candidate,candidate_votes
Vermont,Chelsea,1,9
Arkansas,Hempstead,1,127
Tennessee,Houston,1,38
Tennessee,Lincoln,1,147
Tennessee,Chester,1,71
Kentucky,Floyd,1,148
Tennessee,Coffee,1,219
Tennessee,Davidson,1,2590
Arkansas,Lafayette,1,22
Vermont,Bridgewater,1,5
Tennessee,McNairy,1,93
Vermont,Mount Holly,1,7
Tennessee,Weakley,1,111
Vermont,Fairlee,1,5
Tennessee,Decatur,1,42
Arkansas,Crittenden,1,127
Mississippi,Tunica,1,26
Mississippi,Claiborne,1,21
Vermont,Shrewsbury,1,5
Idaho,Lincoln,1,14
Arkansas,Dallas,1,19
Arkansas,Phillips,1,44
Idaho,Franklin,1,12
Tennessee,Moore,1,25
Tennessee,Sevier,1,306
Vermont,Berkshire,1,5
Vermont,Addison,1,6
Vermont,Jamaica,1,4
Vermont,Walden,1,4
Vermont,Starksboro,1,7
Vermont,Cabot,1,6
Mississippi,Holmes,1,44
Vermont,Randolph,1,17
Vermont,Wolcott,1,6
Tennessee,Greene,1,180
Colorado,Hinsdale,1,4
Idaho,Boise,1,30
Tennessee,Loudon,1,181
Vermont,Plainfield,1,5
Idaho,Teton,1,39
Idaho,Latah,1,125
Tennessee,Hardin,1,70
Vermont,Bradford,1,9
Tennessee,Wilson,1,446
Utah,San Juan,1,31
Vermont,Pomfret,1,4
Vermont,Brookfield,1,5
Vermont,Chittenden,1,5
Vermont,Newbury,1,7
Arkansas,Desha,1,24
Vermont,Bakersfield,1,4
Colorado,Alamosa,1,43
Vermont,Northfield,1,14
Arkansas,Perry,1,26
Arkansas,Calhoun,1,12
Mississippi,Jefferson Davis,1,26
Utah,Davis,1,763
Arkansas,Drew,1,38
Tennessee,Roane,1,143
Tennessee,Dickson,1,134
Kentucky,Breathitt,1,31
Arkansas,Ashley,1,43
Idaho,Benewah,1,27
Utah,Utah,1,1324
Idaho,Minidoka,1,43
Vermont,Williamstown,1,10
Arkansas,Cross,1,37
Vermont,Fair Haven,1,7
Utah,Morgan,1,33
Arkansas,Jefferson,1,132
Arkansas,Lee,1,15
Mississippi,Washington,1,55
Oklahoma,Adair,1,37
Minnesota,Mahnomen,1,12
Idaho,Bannock,1,205
Arkansas,Randolph,1,35
Vermont,Mendon,1,4
Vermont,Milton,1,31
Oklahoma,Greer,1,10
Oklahoma,Cotton,1,13
Mississippi,Coahoma,1,36
Vermont,Brandon,1,11
Idaho,Nez Perce,1,105
Vermont,Cambridge,1,11
Vermont,Barre,0,19
Mississippi,Bolivar,0,58
Idaho,Cassia,0,48
Idaho,Bingham,0,100
Vermont,Swanton,0,16
Vermont,Shaftsbury,0,11
Arkansas,Jackson,0,25
Vermont,Westford,0,7
Arkansas,Chicot,0,20
Vermont,Brighton,0,3
Minnesota,Watonwan,0,25
Vermont,Worcester,0,3
Mississippi,Humphreys,0,20
Oklahoma,Seminole,0,40
Idaho,Bonneville,0,259
Vermont,Killington,0,4
Utah,Carbon,0,42
Oklahoma,Coal,0,12
Vermont,Lunenburg,0,3
Minnesota,Big Stone,0,14
Mississippi,Hinds,0,383
Utah,Tooele,0,137
Colorado,Crowley,0,8
Oklahoma,Blaine,0,18
Idaho,Fremont,0,31
Mississippi,Jefferson,0,18
Vermont,Sunderland,0,3
Minnesota,Kittson,0,12
Mississippi,Chickasaw,0,37
Idaho,Power,0,14
Idaho,Ada,0,1172
Vermont,Hinesburg,0,14
Oklahoma,Pontotoc,0,69
Vermont,Pawlet,0,4
Vermont,Williston,0,31
Utah,Wasatch,0,74
Oklahoma,Oklahoma,0,1324
Colorado,Saguache,0,15
Idaho,Jerome,0,35
Vermont,Georgia,0,13
Vermont,Springfield,0,20
Vermont,Stowe,0,15
Mississippi,Tate,0,37
Utah,Wayne,0,7
Idaho,Custer,0,12
Idaho,Madison,0,75
Vermont,West Rutland,0,5
Vermont,Bennington,0,31
Mississippi,Sunflower,0,33
Vermont,Newport,0,8
Idaho,Twin Falls,0,159
Arkansas,Clark,0,53
Vermont,Wilmington,0,5
Colorado,Lake,0,17
Arkansas,Pulaski,0,711
Oklahoma,Caddo,0,42
Idaho,Valley,0,30
Oklahoma,Johnston,0,18
Vermont,Richford,0,4
Vermont,North Hero,0,3
Mississippi,Tallahatchie,0,21
Minnesota,Cook,0,16
Vermont,Windsor,0,8
Arkansas,Ouachita,0,38
Vermont,Poultney,0,7
Kentucky,Jefferson,0,1562
Tennessee,Shelby,0,1598
Oklahoma,Payne,0,123
Vermont,Charlotte,0,12
Vermont,St. Johnsbury,0,14
Arkansas,Bradley,0,15
Idaho,Elmore,0,42
Oklahoma,Osage,0,84
Idaho,Oneida,0,10
Arkansas,Craighead,0,156
Utah,Box Elder,0,98
Vermont,Morristown,0,13
Minnesota,Waseca,0,42
Vermont,Ludlow,0,5
Vermont,Hyde Park,0,7
Oklahoma,Tulsa,0,1071
Vermont,Shoreham,0,3
Kentucky,Boyle,0,56
Oklahoma,Pottawatomie,0,113
Arkansas,Independence,0,58
Vermont,Fairfax,0,12
Oklahoma,Cleveland,0,477
Idaho,Blaine,0,53
Oklahoma,Alfalfa,0,9
Louisiana,Orleans,0,707
Vermont,Franklin,0,3
Vermont,Danby,0,3
Mississippi,Forrest,0,105
Vermont,East Montpelier,0,7
Kentucky,Christian,0,94
Minnesota,Beltrami,0,95
Vermont,Sheldon,0,4
Minnesota,Faribault,0,31
Mississippi,Leflore,0,32
Arkansas,Mississippi,0,48
Utah,Salt Lake,0,1457
Vermont,Westminster,0,7
Arkansas,Yell,0,26
Utah,Cache,0,202
Vermont,Peacham,0,2
Vermont,Wallingford,0,5
Mississippi,Adams,0,47
Oklahoma,Washington,0,90
Oklahoma,Roger Mills,0,7
Idaho,Shoshone,0,23
Idaho,Gooding,0,23
Kentucky,Carter,0,44
Oklahoma,Canadian,0,235
Arkansas,Washington,0,355
Kentucky,Morgan,0,21
Vermont,Essex,0,51
Oklahoma,Cherokee,0,67
Idaho,Canyon,0,342
Vermont,Richmond,0,11
Mississippi,Quitman,0,12
Idaho,Bonner,0,102
Vermont,Waterbury,0,13
Vermont,Sutton,0,2
Mississippi,Sharkey,0,8
Vermont,Alburgh,0,4
Mississippi,Copiah,0,40
Mississippi,Panola,0,40
Vermont,Lyndon,0,9
Mississippi,Covington,0,18
Vermont,Dummerston,0,5
Arkansas,Woodruff,0,9
Vermont,Groton,0,2
Vermont,Middletown Springs,0,2
Arkansas,Lincoln,0,14
Mississippi,Wayne,0,36
Mississippi,Marshall,0,47
Colorado,Otero,0,34
Arkansas,Conway,0,31
Utah,Weber,0,250
Utah,Grand,0,18
Vermont,Londonderry,0,4
Kentucky,Menifee,0,11
Vermont,Rockingham,0,9
Minnesota,Stevens,0,18
Vermont,Huntington,0,5
Arkansas,Monroe,0,10
Colorado,San Juan,0,2
Vermont,South Burlington,0,45
Kentucky,Todd,0,19
Arkansas,Stone,0,21
Idaho,Butte,0,5
Vermont,Cornwall,0,3
Arkansas,Howard,0,17
Vermont,Grand Isle,0,5
Kentucky,Fayette,0,512
Vermont,Fairfield,0,4
Vermont,Rutland,0,28
Utah,Iron,0,67
Minnesota,Wilkin,0,12
Arkansas,Faulkner,0,189
Vermont,Pittsford,0,6
Vermont,Moretown,0,4
Utah,Piute,0,3
Mississippi,Yazoo,0,31
Arkansas,Baxter,0,72
Vermont,Colchester,0,33
Oklahoma,Okmulgee,0,49
Idaho,Bear Lake,0,11
Kentucky,Caldwell,0,22
Vermont,New Haven,0,4
Louisiana,Iberville,0,57
Oklahoma,Comanche,0,121
Oklahoma,Muskogee,0,85
Utah,Daggett,0,2
Oklahoma,Carter,0,66
Kentucky,Jessamine,0,88
Kentucky,Clay,0,22
Vermont,Chester,0,6
Vermont,Vergennes,0,5
Kentucky,Daviess,0,165
Utah,Kane,0,13
Arkansas,Carroll,0,39
Kentucky,Franklin,0,87
Minnesota,Blue Earth,0,120
Minnesota,Meeker,0,45
Minnesota,Chippewa,0,22
Kentucky,Mercer,0,39
Oklahoma,Craig,0,20
Vermont,St. Albans,0,10
Vermont,Washington,0,2
Arkansas,Little River,0,17
Mississippi,Clay,0,33
Vermont,Duxbury,0,3
Mississippi,Lee,0,104
Minnesota,Jackson,0,19
Arkansas,Sevier,0,17
Vermont,Weybridge,0,2
Oklahoma,Woods,0,12
Vermont,Berlin,0,5
Arkansas,Newton,0,13
Oklahoma,Logan,0,70
Oklahoma,Noble,0,16
Vermont,Burke,0,3
Oklahoma,Pittsburg,0,58
Kentucky,Warren,0,175
Mississippi,Yalobusha,0,21
Minnesota,Traverse,0,6
Vermont,Burlington,0,16
Minnesota,Lac qui Parle,0,13
Kentucky,Bourbon,0,31
Minnesota,Nobles,0,28
Oklahoma,Kiowa,0,11
Kentucky,Montgomery,0,41
Vermont,Waitsfield,0,4
Kentucky,Madison,0,140
Arkansas,Johnson,0,30
Oklahoma,Kay,0,55
Minnesota,Mower,0,62
Colorado,Rio Grande,0,20
Kentucky,Powell,0,17
Iowa,Worth,0,14
Idaho,Jefferson,0,45
Vermont,Concord,0,2
Vermont,Hardwick,0,5
Vermont,Dover,0,3
Vermont,Warren,0,4
Mississippi,Franklin,0,14
Kentucky,Carroll,0,13
Iowa,Webster,0,56
Colorado,Bent,0,7
Kentucky,Wayne,0,29
Vermont,Johnson,0,5
Arkansas,Sebastian,0,147
Vermont,Lincoln,0,3
Oklahoma,Garfield,0,70
Utah,Washington,0,272
Utah,Emery,0,15
Kentucky,Scott,0,90
Kentucky,Letcher,0,28
Kentucky,Green,0,18
Vermont,Fayston,0,3
Iowa,Taylor,0,10
Vermont,Barton,0,4
Kentucky,Rowan,0,31
Kentucky,Hardin,0,149
Utah,Sanpete,0,37
Oklahoma,McClain,0,59
Kentucky,Hancock,0,14
Oklahoma,Murray,0,18
Tennessee,Rutherford,0,439
Mississippi,Calhoun,0,17
Oklahoma,Stephens,0,58
Iowa,Wright,0,19
Minnesota,Pipestone,0,15
Kentucky,Johnson,0,31
Arkansas,Hot Spring,0,38
Arkansas,Pope,0,74
Colorado,Adams,0,710
Oklahoma,Garvin,0,33
Arkansas,Arkansas,0,19
Kentucky,Wolfe,0,9
Kentucky,Elliott,0,9
Colorado,Moffat,0,21
Idaho,Gem,0,30
Vermont,Glover,0,2
Idaho,Washington,0,16
Mississippi,Webster,0,16
Kentucky,Bell,0,30
Oklahoma,Okfuskee,0,12
Idaho,Kootenai,0,268
Louisiana,West Baton Rouge,0,42
Minnesota,Fillmore,0,36
Vermont,Irasburg,0,2
Louisiana,East Baton Rouge,0,618
Kentucky,Garrard,0,25
Kentucky,Oldham,0,112
Oklahoma,Grady,0,68
Louisiana,St. John the Baptist,0,63
Minnesota,Becker,0,57
Oklahoma,Washita,0,14
Kentucky,Hopkins,0,63
Idaho,Caribou,0,10
Idaho,Payette,0,33
Arkansas,Logan,0,24
Minnesota,Freeborn,0,49
Mississippi,Neshoba,0,34
Oklahoma,Custer,0,31
Colorado,Gilpin,0,12
Iowa,Decatur,0,11
Mississippi,Lawrence,0,19
Vermont,Highgate,0,5
Oklahoma,McCurtain,0,33
Kentucky,Lawrence,0,20
Mississippi,De Soto,0,215
Kentucky,Adair,0,25
Vermont,Monkton,0,4
Arkansas,St. Francis,0,20
Minnesota,Renville,0,23
Arkansas,Pike,0,12
Louisiana,Plaquemines,0,31
Vermont,Pownal,0,5
Oklahoma,Pawnee,0,19
Colorado,Pueblo,0,243
Mississippi,Madison,0,128
Mississippi,Simpson,0,28
Arkansas,Union,0,46
Louisiana,St. Bernard,0,49
Utah,Sevier,0,27
Louisiana,Caddo,0,290
Mississippi,Newton,0,24
Mississippi,Noxubee,0,11
Kentucky,Grayson,0,33
Kentucky,Kenton,0,224
Louisiana,Jefferson,0,531
Minnesota,Grant,0,10
Mississippi,Leake,0,23
Arkansas,Lawrence,0,16
Oklahoma,Sequoyah,0,42
Oklahoma,Wagoner,0,96
Kentucky,Campbell,0,133
Oklahoma,Creek,0,83
Colorado,Rio Blanco,0,10
Kentucky,Taylor,0,34
Arkansas,Polk,0,23
Idaho,Clearwater,0,12
Colorado,Cheyenne,0,3
Kentucky,Shelby,0,61
Minnesota,Kandiyohi,0,63
Mississippi,Monroe,0,39
Oklahoma,Harper,0,4
Minnesota,Winona,0,73
Vermont,Royalton,0,4
Kentucky,Marion,0,24
Mississippi,Pike,0,38
Tennessee,Lewis,0,15
Arkansas,Greene,0,43
Minnesota,Ramsey,0,787
Kentucky,Webster,0,16
Colorado,El Paso,0,957
Vermont,Orwell,0,2
Colorado,Las Animas,0,21
Iowa,Marshall,0,48
Colorado,Weld,0,436
Arkansas,Benton,0,323
Minnesota,Steele,0,55
Kentucky,Perry,0,28
Vermont,Montgomery,0,2
Mississippi,Lowndes,0,71
Minnesota,Martin,0,29
Mississippi,Harrison,0,160
Tennessee,Montgomery,0,201
Vermont,Thetford,0,5
Minnesota,Pennington,0,19
Vermont,Calais,0,3
Minnesota,Wadena,0,20
Kentucky,Ohio,0,29
Iowa,Story,0,132
Colorado,Eagle,0,74
Kentucky,Larue,0,19
Arkansas,Saline,0,148
Kentucky,Pendleton,0,18
Iowa,Fremont,0,10
Kentucky,Bracken,0,11
Oklahoma,Tillman,0,7
Tennessee,Warren,0,43
Louisiana,Madison,0,12
Minnesota,Lincoln,0,8
Minnesota,Hennepin,0,1932
Minnesota,Pope,0,18
Kentucky,Anderson,0,34
Colorado,Arapahoe,0,889
Oklahoma,Rogers,0,114
Mississippi,Marion,0,29
Mississippi,Scott,0,24
Oklahoma,Jackson,0,21
Kentucky,McCracken,0,83
Minnesota,Clearwater,0,12
Vermont,Hartford,0,16
Kentucky,Boyd,0,55
Mississippi,Jasper,0,22
Arkansas,White,0,78
Kentucky,Barren,0,51
Vermont,Middlebury,0,11
Minnesota,Houston,0,29
Idaho,Owyhee,0,12
Iowa,Winnebago,0,15
Vermont,Cavendish,0,2
Kentucky,Boone,0,163
Kentucky,Calloway,0,44
Minnesota,Cass,0,46
Oklahoma,Jefferson,0,6
Kentucky,Hart,0,21
Mississippi,Amite,0,15
Utah,Uintah,0,37
Vermont,Manchester,0,7
Minnesota,Le Sueur,0,42
Mississippi,Lamar,0,60
Minnesota,Polk,0,39
Minnesota,Lake,0,18
Kentucky,Leslie,0,12
Iowa,Buena Vista,0,20
