state,precinct,percent_candidate,candidate_votes
Colorado,Crowley,0,2
Colorado,Kit Carson,0,2
Colorado,Conejos,0,2
Colorado,Grand,0,4
Colorado,Archuleta,0,3
Colorado,Saguache,0,1
Colorado,Chaffee,0,4
Colorado,Las Animas,0,2
Colorado,Gilpin,0,1
Colorado,Otero,0,2
Colorado,Yuma,0,1
Colorado,Pueblo,0,17
Colorado,Montezuma,0,3
Colorado,Logan,0,2
Colorado,Mesa,0,16
Colorado,Denver,0,62
Colorado,Arapahoe,0,64
Colorado,El Paso,0,66
Colorado,Gunnison,0,2
Colorado,Adams,0,40
Colorado,Fremont,0,4
Colorado,Moffat,0,1
Colorado,Jefferson,0,51
Colorado,Larimer,0,29
Colorado,Routt,0,2
Colorado,La Plata,0,4
Colorado,Summit,0,2
Colorado,Elbert,0,2
Colorado,Delta,0,2
Colorado,Boulder,0,18
Colorado,Pitkin,0,1
Colorado,Park,0,1
Colorado,Douglas,0,19
Colorado,Montrose,0,2
Colorado,Weld,0,13
Colorado,Garfield,0,2
Colorado,Broomfield,0,2
Colorado,Eagle,0,1
Colorado,Cheyenne,0,0
Colorado,Rio Blanco,0,0
Colorado,Baca,0,0
Colorado,Washington,0,0
Colorado,Custer,0,0
Colorado,San Juan,0,0
Colorado,Phillips,0,0
Colorado,Kiowa,0,0
Colorado,Ouray,0,0
Colorado,Dolores,0,0
Colorado,Prowers,0,0
Colorado,Bent,0,0
Colorado,Huerfano,0,0
Colorado,Teller,0,0
Colorado,Jackson,0,0
Colorado,Mineral,0,0
Colorado,Rio Grande,0,0
Colorado,Morgan,0,0
Colorado,Costilla,0,0
Colorado,Hinsdale,0,0
Colorado,San Miguel,0,0
Colorado,Clear Creek,0,0
Colorado,Sedgwick,0,0
Colorado,Lincoln,0,0
Colorado,Alamosa,0,0
Colorado,Lake,0,0
